modelName,Q4 2022,Q4 2021
Acura ILX,0,2270
Acura Integra,6989,0
Acura MDX,13211,12243
Acura NSX,87,6
Acura RDX,5013,12777
Acura RLX,0,5
Acura TLX,2354,3168
Alfa Romeo 4C,0,0
Alfa Romeo Giulia,1431,1521
Alfa Romeo Stelvio,1601,2535
Audi A3,2750,984
Audi A4,4413,1737
Audi A5,4772,2931
Audi A6,1722,948
Audi A7,522,312
Audi A8,569,306
Audi e-Tron GT,314,765
Audi e-Tron Sportback,384,384
Audi eTron,1145,1980
Audi Q3,6441,7680
Audi Q4 e-tron,1872,45
Audi Q4 e-tron Sportback,541,18
Audi Q5,19780,10380
Audi Q7,5973,3021
Audi Q8,2631,1374
Audi R8,108,153
Audi TT,115,162
BMW 2-Series,2370,3132
BMW 3-Series,10734,12093
BMW 4-Series,13552,6633
BMW 5-Series,6471,5985
BMW 6-Series,0,3
BMW 7-Series,2071,1719
BMW 8-Series,1761,2160
BMW i3,0,198
BMW i8,0,6
BMW iX,1673,0
BMW X1,2744,4719
BMW X2,330,1692
BMW X3,14694,21864
BMW X4,3167,3750
BMW X5,25769,18945
BMW X6,4466,2916
BMW X7,10734,6576
BMW Z4,363,642
Buick Enclave,7719,9006
Buick Encore,2487,1171
Buick Encore GX,9052,11220
Buick Envision,7663,10009
Buick LaCrosse,0,0
Buick Regal,0,1
Cadillac ATS,0,0
Cadillac CT4,2181,1395
Cadillac CT5,5391,1809
Cadillac CT6,0,0
Cadillac CTS,0,0
Cadillac Escalade,10569,9663
Cadillac Lyriq,87,0
Cadillac XT4,6803,3045
Cadillac XT5,8446,3528
Cadillac XT6,5661,2940
Cadillac XTS,0,0
Chevrolet Blazer,16631,19986
Chevrolet Bolt,16108,24
Chevrolet Camaro,5475,6810
Chevrolet Colorado,20602,21453
Chevrolet Corvette,12130,8292
Chevrolet Cruze,0,0
Chevrolet Equinox,48747,14214
Chevrolet Express,16359,7767
Chevrolet Impala,0,9
Chevrolet Malibu,35668,7221
Chevrolet Silverado,141912,115377
Chevrolet Sonic,0,18
Chevrolet Spark,3284,1452
Chevrolet Suburban,16044,14031
Chevrolet Tahoe,31122,30882
Chevrolet TrailBlazer,18956,16263
Chevrolet Traverse,27271,22053
Chevrolet Trax,4716,1284
Chrysler 200,0,9
Chrysler 300,2331,2031
Chrysler Pacifica,22722,38820
Chrysler Town and Country,0,3
Dodge Challenger,12966,10173
Dodge Charger,17414,16890
Dodge Dart,0,5
Dodge Durango,15891,13005
Dodge Grand Caravan,0,81
Dodge Journey,6,207
Dodge Viper,0,3
Fiat 124 Spider,0,21
Fiat 500,0,33
Fiat 500L,0,12
Fiat 500X,118,201
Ford Bronco,30670,24819
Ford Bronco Sport,19571,26965
Ford E-Series,9927,10655
Ford EcoSport,3007,6165
