Model,Month,Month LY,Change,YTD,YTD LY,YTD Change
BMW 2-Series,822,1044,-21.26,11551,15684,-26.35
Mazda 3,1986,2019,-1.63,27767,41845,-33.64
BMW 3-Series,3721,4031,-7.69,30400,49458,-38.53
Chrysler 300,808,677,19.35,14087,16662,-15.45
Nissan 370Z,61,0,0.00,262,37,608.11
BMW 4-Series,4698,2211,112.48,36952,22938,61.10
Toyota 4Runner,7291,14851,-50.91,121023,144696,-16.36
BMW 5-Series,2243,1995,12.43,20857,24523,-14.95
Fiat 500X,41,67,-38.81,463,1180,-60.76
Volvo 60-Series,822,2482,-66.88,7536,14846,-49.24
BMW 7-Series,718,573,25.31,5974,7705,-22.47
BMW 8-Series,610,720,-15.28,7308,7763,-5.86
Volvo 90-Series,166,147,12.93,1821,1495,21.81
Audi A3,953,328,190.55,11349,2387,375.45
Audi A4,1530,579,164.25,15239,16263,-6.30
Audi A5,1654,977,69.29,18349,17128,7.13
Audi A6,597,316,88.92,6005,9543,-37.07
Audi A7,181,104,74.04,2240,3080,-27.27
Audi A8,197,102,93.14,1593,2068,-22.97
GMC Acadia,4837,1411,242.81,53025,59913,-11.50
Hyundai Accent,154,844,-81.75,17823,18868,-5.54
Honda Accord,18606,14435,28.90,154612,202676,-23.71
Lucid Air,295,0,0.00,1949,0,0.00
Nissan Altima,11729,9423,24.47,139956,103776,34.86
Nissan Ariya,201,0,0.00,201,0,0.00
Nissan Armada,1142,1377,-17.07,11923,22815,-47.74
Volkswagen Arteon,82,224,-63.39,1178,5537,-78.72
Subaru Ascent,6980,6088,14.65,63704,74650,-14.66
Volkswagen Atlas,1170,4885,-76.05,43900,72383,-39.35
Volkswagen Atlas Sport,691,3072,-77.51,24666,44304,-44.33
Toyota Avalon,12,1122,-98.93,12215,18280,-33.18
Lincoln Aviator,1653,1640,0.79,21977,20924,5.03
Chevrolet Blazer,5765,6662,-13.46,67247,70323,-4.37
Chevrolet Bolt,5584,8,"69,700.00",38122,24827,53.55
Ford Bronco,10412,9168,13.57,117057,35023,234.23
Ford Bronco Sport,7166,6278,14.14,99547,108169,-7.97
Subaru BRZ,325,1069,-69.60,3345,2320,44.18
Toyota bZ4X,634,0,0.00,1217,0,0.00
Toyota C-HR,604,941,-35.81,12141,35707,-66.00
Volvo C40,429,42,921.43,3780,42,"8,900.00"
Chevrolet Camaro,1898,2270,-16.39,24652,21893,12.60
Toyota Camry,25906,20074,29.05,295201,313795,-5.93
GMC Canyon,2221,2052,8.24,27821,24125,15.32
Kia Carnival,1226,1113,10.15,17075,10530,62.16
Dodge Challenger,4495,3391,32.56,55245,54315,1.71
Dodge Charger,6037,5630,7.23,80365,78388,2.52
Jeep Cherokee,3283,3459,-5.09,40322,89126,-54.76
Honda Civic,14909,20886,-28.62,133932,263787,-49.23
Chevrolet Colorado,7142,7151,-0.13,89197,73008,22.17
Jeep Compass,6659,5871,13.42,86175,75642,13.92
Mini Cooper,2276,1741,30.73,20012,22970,-12.88
Toyota Corolla,17982,13940,29.00,222216,223215,-0.45
Toyota Corolla Cross,5609,3500,60.26,56666,7203,686.70
Chevrolet Corvette,3165,2764,14.51,37510,33042,13.52
Mini Countryman,1301,879,48.01,9488,12198,-22.22
Honda CR-V,19285,25056,-23.03,238155,361271,-34.08
Subaru CrossTrek,13491,9494,42.10,155142,127466,21.71
Cadillac CT4,756,465,62.58,9270,7254,27.79
Cadillac CT5,1869,603,209.95,15896,9448,68.25
Mazda CX-30,4298,5160,-16.71,52808,55180,-4.30
Mazda CX-5,13512,10419,29.69,151594,163940,-7.53
Mazda CX-50,3063,0,0.00,21329,0,0.00
Mazda CX-9,3695,1010,265.84,34580,31803,8.73
Dodge Durango,5509,4335,27.08,55510,65936,-15.81
Ford E-Series,3253,3806,-14.53,32150,37122,-13.39
Audi e-Tron GT,109,255,-57.25,2301,1227,87.53
Audi e-Tron Sportback,133,128,3.91,2893,505,472.87
Mitsubishi Eclipse Cross,817,668,22.31,10717,8946,19.80
Ford EcoSport,560,2992,-81.28,29193,40659,-28.20
Ford Edge,6893,11456,-39.83,85465,85225,0.28
Rivian EDV700,451,0,0.00,2999,0,0.00
Hyundai Elantra,11743,5193,126.13,117177,127360,-8.00
Buick Enclave,2676,3256,-17.81,30532,42340,-27.89
Buick Encore,862,635,35.75,13717,20438,-32.88
Buick Encore GX,3138,4508,-30.39,33349,72401,-53.94
Buick Envision,2657,3819,-30.43,25870,47173,-45.16
Chevrolet Equinox,16899,4738,256.67,212072,165325,28.28
Lexus ES,3395,4028,-15.71,41465,45406,-8.68
Cadillac Escalade,3664,3221,13.75,40250,40504,-0.63
Ford Escape,9200,10704,-14.05,137370,145415,-5.53
Audi eTron,397,660,-39.85,7503,8278,-9.36
Kia EV6,1107,0,0.00,18249,0,0.00
Ford Expedition,8384,7559,10.91,62007,81988,-24.37
Ford Explorer,19103,20715,-7.78,207763,219871,-5.51
Chevrolet Express,5671,2589,119.04,52796,44357,19.03
Ford F-Series,75076,62496,20.13,653957,726003,-9.92
Subaru Forester,13526,13930,-2.90,114096,154723,-26.26
Kia Forte,7693,8639,-10.95,97303,113051,-13.93
Nissan Frontier,6874,7545,-8.89,76185,60697,25.52
Genesis G70,1054,681,54.77,12649,10718,18.02
Genesis G80,345,421,-18.05,4125,6031,-31.60
Genesis G90,133,171,-22.22,1172,1821,-35.64
Alfa Romeo Giulia,496,507,-2.17,5091,7635,-33.32
Jeep Gladiator,6097,6085,0.20,77855,89712,-13.22
Volkswagen Golf,111,270,-58.89,7893,6537,20.74
Toyota GR86,860,107,703.74,11996,109,"10,905.50"
Jeep Grand Cherokee,17611,24939,-29.38,223344,254445,-12.22
Jeep Grand Wagoneer,791,862,-8.24,11735,2676,338.53
Karma GS-6,3,0,0.00,99,0,0.00
Genesis GV60,177,0,0.00,1590,0,0.00
Genesis GV70,2477,1988,24.60,19141,10735,78.30
Genesis GV80,1963,1738,12.95,17521,20325,-13.80
Lexus GX,2828,3007,-5.95,29945,32509,-7.89
Toyota Highlander,20247,19270,5.07,222805,264128,-15.65
Honda HR-V,6314,9832,-35.78,115416,137090,-15.81
GMC Hummer EV,25,0,0.00,854,0,0.00
Volkswagen ID.4,1406,1488,-5.51,15128,16745,-9.66
Subaru Impreza,2495,4156,-39.97,30846,34791,-11.34
Subaru Impreza WRX,2196,2037,7.81,18662,27141,-31.24
Acura Integra,2103,0,0.00,13027,0,0.00
Hyundai Ioniq 5,1720,153,"1,024.18",22982,153,"14,920.92"
Lexus IS,1922,1393,37.98,21386,21998,-2.78
BMW iX,870,0,0.00,4827,0,0.00
Volkswagen Jetta,363,3082,-88.22,34032,55113,-38.25
Dodge Journey,2,69,-97.10,194,14034,-98.62
Kia K5,3352,0,0.00,66310,77195,-14.10
Nissan Kicks,3383,6075,-44.31,54879,82960,-33.85
Hyundai Kona,6972,5299,31.57,63994,89607,-28.58
Toyota Land Cruiser,3,13,-76.92,48,3711,-98.71
Lexus LC,178,145,22.76,1387,2782,-50.14
Nissan Leaf,1084,1388,-21.90,12026,14237,-15.53
Subaru Legacy,2125,1729,22.90,22605,22766,-0.71
Lexus LS,223,178,25.28,2679,3739,-28.35
Lexus LX,438,510,-14.12,3642,26016,-86.00
Cadillac Lyriq,30,0,0.00,123,0,0.00
Chevrolet Malibu,12365,2407,413.71,115468,39376,193.24
Ford Maverick,5878,6030,-2.52,74370,13258,460.94
Nissan Maxima,719,1264,-43.12,7110,16386,-56.61
Acura MDX,5133,5535,-7.26,41690,60057,-30.58
Mitsubishi Mirage,1058,1384,-23.55,15814,22743,-30.47
Toyota Mirai,303,28,982.14,2094,2629,-20.35
Lincoln MKC,2537,1827,38.86,27668,22790,21.40
Lincoln MKX/Nautilus,1481,1469,0.82,20635,25443,-18.90
Tesla Model 3,19968,11233,77.76,195698,121610,60.92
Tesla Model S,3051,1233,147.45,90473,11556,682.91
Tesla Model X,3397,333,920.12,24099,7305,229.90
Tesla Model Y,22117,13433,64.65,225799,161527,39.79
Nissan Murano,2668,2277,17.17,30074,46115,-34.78
Ford Mustang,3861,4564,-15.40,44332,52384,-15.37
Ford Mustang Mach E,4775,2349,103.28,39458,27140,45.39
Mazda MX-5 Miata,738,211,249.76,6172,10470,-41.05
Lincoln Navigator,1595,1220,30.74,13206,15631,-15.51
Hyundai Nexo,25,37,-32.43,408,421,-3.09
Kia Niro,3573,2448,45.96,29176,26192,11.39
Acura NSX,17,1,"1,600.00",298,124,140.32
Lexus NX,6088,1516,301.58,49002,58514,-16.26
Honda Odyssey,8004,3586,123.20,47615,76125,-37.45
Subaru Outback,14797,12643,17.04,147262,154623,-4.76
Mitsubishi Outlander,3626,4202,-13.71,40940,33883,20.83
Mitsubishi Outlander PHEV,287,201,42.79,1960,2249,-12.85
Mitsubishi Outlander Sport,1406,1831,-23.21,16374,34214,-52.14
Chrysler Pacifica,7877,12940,-39.13,98624,74970,31.55
Hyundai Palisade,7394,6882,7.44,82688,86282,-4.17
Honda Passport,3602,4609,-21.85,41306,53133,-22.26
Nissan Pathfinder,7030,4146,69.56,57862,41324,40.02
Ram Pickup,36488,44872,-18.68,468344,569389,-17.75
Honda Pilot,8991,11286,-20.33,99567,143062,-30.40
Polestar Polestar 1,7,0,0.00,231,0,0.00
Polestar Polestar 2,721,0,0.00,6729,0,0.00
Toyota Prius Family,4907,3946,24.35,33352,59010,-43.48
Ram ProMaster,6554,4728,38.62,60937,63362,-3.83
Ram ProMaster City,1981,1039,90.66,15914,14578,9.16
Audi Q3,2233,2560,-12.77,23045,34464,-33.13
Audi Q4 e-tron,649,15,"4,226.67",2576,45,"5,624.44"
Audi Q4 e-tron Sportback,188,6,"3,033.33",569,18,"3,061.11"
Audi Q5,6857,3460,98.18,57053,60299,-5.38
Infiniti Q50,191,837,-77.18,4780,13894,-65.60
Infiniti Q60,71,175,-59.43,1846,2729,-32.36
Audi Q7,2071,1007,105.66,17887,25363,-29.48
Audi Q8,912,458,99.13,8507,12539,-32.16
Infiniti QX50,886,735,20.54,11105,19196,-42.15
Infiniti QX55,507,452,12.17,5107,4333,17.86
Infiniti QX60,2164,485,346.19,16574,5830,184.29
Infiniti QX80,885,966,-8.39,7204,12573,-42.70
Rivian R1S,277,0,0.00,800,0,0.00
Rivian R1T,1352,0,0.00,9900,0,0.00
Audi R8,37,51,-27.45,299,648,-53.86
Ford Ranger,4246,6992,-39.27,56987,94755,-39.86
Toyota RAV4,33489,34609,-3.24,366741,407739,-10.05
Lexus RC,207,94,120.21,2648,2987,-11.35
Acura RDX,2369,3488,-32.08,21892,57013,-61.60
Jeep Renegade,1309,1727,-24.20,27551,47138,-41.55
Karma Revero,2,0,0.00,49,0,0.00
Honda Ridgeline,3696,3816,-3.14,42762,41355,3.40
Kia Rio,2358,2800,-15.79,27065,31362,-13.70
Nissan Rogue,19533,16985,15.00,186481,285601,-34.71
Lexus RX,3769,11594,-67.49,96041,115320,-16.72
Hyundai Santa Cruz,3487,3000,16.23,36480,9634,278.66
Hyundai Santa Fe,11699,8698,34.50,115226,112705,2.24
GMC Savana,2461,1413,74.17,25569,36008,-28.99
Kia Seltos,4961,3053,62.50,44897,51368,-12.60
Nissan Sentra,4917,5680,-13.43,77124,127862,-39.68
Toyota Sequoia,2073,805,157.52,5313,8070,-34.16
GMC Sierra,25104,19246,30.44,241521,248923,-2.97
Chevrolet Silverado,49196,38459,27.92,520936,529765,-1.67
Subaru Solterra,825,0,0.00,919,0,0.00
Hyundai Sonata,6881,3514,95.82,52140,83434,-37.51
Kia Sorento,7282,6490,12.20,87147,81785,6.56
Kia Soul,4543,3987,13.95,56740,75126,-24.47
Chevrolet Spark,1138,484,135.12,13708,24460,-43.96
